t_hover,E_req_J,exceeds_avail
5.139274874540180349e+01,5.908543390597490361e+05,0.000000000000000000e+00
5.432806558914897721e+01,6.030809182064672932e+05,0.000000000000000000e+00
4.027530750347941790e+01,5.445464675456709228e+05,0.000000000000000000e+00
4.989608425039367035e+01,5.846202294632736593e+05,0.000000000000000000e+00
6.327095743852272847e+01,6.403310621661655605e+05,1.000000000000000000e+00
6.168200139566562257e+01,6.337125273187152343e+05,1.000000000000000000e+00
3.512289313561105075e+01,5.230849336061148206e+05,0.000000000000000000e+00
4.179364561934596622e+01,5.508708550422599073e+05,0.000000000000000000e+00
4.891518985864723135e+01,5.805344753339341842e+05,0.000000000000000000e+00
4.177301547202758059e+01,5.507849235594170168e+05,0.000000000000000000e+00
3.569856887353358132e+01,5.254828161337025231e+05,0.000000000000000000e+00
3.725611155776640260e+01,5.319705038065788103e+05,0.000000000000000000e+00
4.504127395793842936e+01,5.643983163129265886e+05,0.000000000000000000e+00
3.711149422874860448e+01,5.313681241271961480e+05,0.000000000000000000e+00
3.471966117593577650e+01,5.214053372518206597e+05,0.000000000000000000e+00
4.678566749471976749e+01,5.716643004556312226e+05,0.000000000000000000e+00
5.165428748832584915e+01,5.919437356429853244e+05,0.000000000000000000e+00
4.855016415657666329e+01,5.790140208567762747e+05,0.000000000000000000e+00
4.515293157149369563e+01,5.648634077228625538e+05,0.000000000000000000e+00
3.919221558291002339e+01,5.400350264321768191e+05,0.000000000000000000e+00
4.439878521455806748e+01,5.617221352088153362e+05,0.000000000000000000e+00
3.789399553281724309e+01,5.346275045061782002e+05,0.000000000000000000e+00
6.157233290653165625e+01,6.332557212791376514e+05,1.000000000000000000e+00
6.004146964250185192e+01,6.268791623395686038e+05,1.000000000000000000e+00
5.684516290216457435e+01,6.135654727386755403e+05,1.000000000000000000e+00
3.913167034154505330e+01,5.397828351952809608e+05,0.000000000000000000e+00
4.774980421735924097e+01,5.756802532726908103e+05,0.000000000000000000e+00
4.524212815974821922e+01,5.652349414290906861e+05,0.000000000000000000e+00
8.711079191411604938e+01,7.396319685338767013e+05,1.000000000000000000e+00
3.917031635056997629e+01,5.399438087845732225e+05,0.000000000000000000e+00
8.205491558641939775e+01,7.185725479100748198e+05,1.000000000000000000e+00
3.172396584041444711e+01,5.089272614361793967e+05,0.000000000000000000e+00
7.069177096307635111e+01,6.712412394045335241e+05,1.000000000000000000e+00
5.304852703264614888e+01,5.977512109669626225e+05,0.000000000000000000e+00
6.837696403370134135e+01,6.615992921675036196e+05,1.000000000000000000e+00
4.783519048493640469e+01,5.760359157153328415e+05,0.000000000000000000e+00
4.501337310237765621e+01,5.642820998916903045e+05,0.000000000000000000e+00
